WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone"
2014-03-01,0,0,0,0,0,0
2014-03-02,0,0,0,0,0,0
2014-03-03,0,0,0,0,0,0
2014-03-04,0,0,0,0,0,0
2014-03-05,0,0,0,0,0,0
2014-03-06,0,0,0,0,0,0
2014-03-07,0,0,0,0,0,0
2014-03-08,0,0,0,0,0,0
2014-03-09,0,0,0,0,0,0
2014-03-10,0,0,0,0,0,0
2014-03-11,0,0,0,0,0,0
2014-03-12,0,0,0,0,0,0
2014-03-13,0,0,0,0,0,0
2014-03-14,0,0,0,0,0,0
2014-03-15,0,0,0,0,0,0
2014-03-16,0,0,0,0,0,0
2014-03-17,0,0,0,0,0,0
2014-03-18,0,0,0,0,0,0
2014-03-19,0,0,0,0,0,0
2014-03-20,0,0,0,0,0,0
2014-03-21,0,0,0,0,0,0
2014-03-22,0,0,0,0,0,0
2014-03-23,0,0,0,0,0,0
2014-03-24,0,0,0,0,0,0
2014-03-25,86,59,0,0,0,0
2014-03-26,86,60,0,0,0,0
2014-03-27,103,66,8,6,6,5
2014-03-31,112,70,8,6,0,0
2014-04-01,122,80,8,2,0,0
2014-04-02,127,83,8,5,0,0
2014-04-07,151,95,18,7,0,0
2014-04-10,157,101,22,14,0,0
2014-04-17,197,122,27,13,0,0
2014-04-21,203,129,27,13,0,0
2014-04-23,208,136,34,11,0,0
2014-04-30,221,146,13,11,0,0
2014-05-05,231,155,13,11,0,0
2014-05-14,233,157,12,11,0,0
2014-05-23,258,174,12,9,0,0
2014-05-27,258,174,12,9,1,4
2014-05-28,281,186,12,9,16,5
2014-06-02,291,193,13,9,50,6
2014-06-05,344,215,13,9,81,7
2014-06-10,372,236,15,10,89,7
2014-06-11,376,241,15,10,117,19
2014-06-18,398,264,33,24,97,49
2014-06-24,390,270,51,34,158,34
2014-07-02,413,303,107,65,239,99
2014-07-07,412,305,115,75,252,101
2014-07-08,408,307,131,84,305,127
2014-07-14,409,309,142,88,337,142
2014-07-16,406,304,172,105,386,192
2014-07-21,410,310,196,116,442,206
2014-07-24,415,314,224,127,454,219
2014-07-28,427,319,249,129,525,224
2014-07-31,460,339,329,156,533,233
2014-08-03,472,346,391,227,574,252
2014-08-04,485,358,486,255,646,273
2014-08-08,495,367,554,294,717,298
2014-08-12,506,373,599,323,730,315
2014-08-13,510,377,670,355,783,334
2014-08-15,519,380,786,348,810,348
2014-08-19,543,394,834,466,848,365
2014-08-21,579,396,972,576,907,374
2014-08-22,607,406,1082,624,910,392
2014-08-28,648,430,1378,694,1026,422
2014-09-06,812,517,1871,1089,1261,491
2014-09-08,862,555,2046,1224,1361,509
2014-09-12,861,557,2081,1137,1424,524
2014-09-16,936,595,2407,1296,1620,562
2014-09-18,942,601,2710,1459,1673,562
2014-09-22,1008,632,3022,1578,1813,593
2014-09-24,1022,635,3280,1677,1940,597
2014-09-26,1074,648,3458,1830,2021,605
2014-10-01,1157,710,3696,1998,2304,622
2014-10-03,1199,739,3834,2069,2437,623
2014-10-08,1298,768,3924,2210,2789,879
2014-10-10,1350,778,4076,2316,2950,930
2014-10-15,1472,843,4249,2458,3252,1183
2014-10-17,1519,862,4262,2484,3410,1200
2014-10-22,1540,904,4665,2705,3706,1359
2014-10-25,1553,926,4665,2705,3896,1281
2014-10-29,1906,997,6535,2413,5235,1500
2014-10-31,1667,1018,6535,2413,5338,1510
2014-11-05,1731,1041,6525,2697,4759,1070
2014-11-07,1760,1054,6619,2766,4862,1130
2014-11-12,1878,1142,6822,2836,5368,1169
2014-11-14,1919,1166,6878,2812,5586,1187
2014-11-19,1971,1192,7069,2964,6073,1250
2014-11-21,2047,1214,7082,2963,6190,1267
2014-11-26,2134,1260,7168,3016,6599,1398
2014-11-28,2155,1312,7635,3145,7109,1530
2014-12-03,2164,1327,7635,3145,7312,1583
2014-12-10,2292,1428,7719,3177,7897,1768
2014-12-17,2416,1525,7797,3290,8356,2085
2014-12-24,2597,1607,7862,3384,9004,2582
2014-12-31,2707,1708,8018,3423,9446,2758
2015-01-07,2775,1781,8157,3496,9780,2943
2015-01-14,2806,1814,8331,3538,10124,3062
2015-01-21,2871,1876,8478,3605,10340,3145
2015-01-28,2917,1910,8622,3686,10518,3199
2015-02-04,2975,1944,8745,3746,10740,3276
2015-02-11,3044,1995,8881,3826,10934,3341
2015-02-18,3108,2057,9007,3900,11103,3408
2015-02-25,3155,2091,9238,4037,11301,3461
2015-03-04,3219,2129,9249,4117,11466,3546
2015-03-11,3285,2170,9343,4162,11619,3629
2015-03-18,3389,2224,9526,4264,11751,3691
2015-03-25,3429,2263,9602,4301,11841,3747
2015-04-01,3492,2314,9712,4332,11974,3799
2015-04-08,3515,2333,9862,4408,12138,3831
2015-04-15,3548,2346,10042,4486,12201,3857
2015-04-22,3565,2358,10212,4573,12267,3877
2015-04-29,3584,2377,10322,4608,12371,3899
2015-05-06,3589,2386,10564,4716,12440,3903
2015-05-13,3597,2392,10604,4769,12523,3904
2015-05-20,3635,2407,10666,4806,12632,3907
2015-05-27,3641,2420,10666,4806,12706,3908
2015-06-03,3652,2429,10666,4806,12827,3912
2015-06-10,3670,2437,10666,4806,12901,3915
2015-06-17,3674,2444,10666,4806,12965,3919
2015-06-24,3718,2473,10666,4806,13059,3928
2015-07-01,3729,2482,10666,4806,13119,3932
2015-07-08,3748,2499,10670,4807,13155,3940
2015-07-15,3760,2506,10673,4808,13209,3947
2015-07-22,3783,2512,10672,4808,13250,3949
2015-07-29,3786,2520,10672,4808,13290,3951
2015-08-05,3784,2522,10672,4808,13406,3951
2015-08-12,3787,2524,10672,4808,13470,3951
2015-08-19,3786,2524,10672,4808,13494,3952
2015-08-26,3792,2527,10672,4808,13541,3952
2015-09-03,3792,2529,10672,4808,13638,3953
2015-09-10,3792,2530,10672,4808,13683,3953
2015-09-17,3792,2530,10672,4808,13756,3953
2015-09-24,3800,2532,10672,4808,13823,3955
2015-10-01,3805,2533,10672,4808,13911,3955
2015-10-08,3804,2534,10672,4808,13945,3955
2015-10-15,3800,2534,10672,4808,13982,3955
2015-10-22,3803,2535,10672,4808,14001,3955
2015-10-29,3806,2535,10672,4808,14061,3955
2015-11-05,3810,2536,10672,4808,14089,3955
2015-11-11,3805,2536,10672,4808,14122,3955
2015-11-18,3804,2536,10672,4808,14122,3955
2015-11-25,3804,2536,10675,4808,14122,3955
2015-12-02,3804,2536,10675,4809,14122,3955
2015-12-09,3804,2536,10675,4809,14122,3955
2015-12-16,3807,2536,10675,4809,14122,3955
2015-12-23,3804,2536,10675,4809,14122,3955
2015-12-30,3804,2536,10675,4809,14122,3955
2016-01-06,3804,2536,10675,4809,14122,3955
2016-01-13,3804,2536,10675,4809,14122,3955
